Please wait while I teach myself to play Sim-5.
This may take a few minutes.
14883
Elapsed time: 313.745809
I'm ready to play. You go first.

         1054912572 function calls (1054893732 primitive calls) in 314.299 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 base64mime.py:1(<module>)
        1    0.000    0.000    0.001    0.001 mst.py:1(<module>)
       58    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1559(__init__)
      554    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
        1    0.000    0.000    0.001    0.001 decorator.py:1(<module>)
       14    0.000    0.000    0.001    0.000 dataclasses.py:413(_create_fn)
        1    0.000    0.000    0.001    0.001 fnmatch.py:1(<module>)
     2613    0.001    0.000    0.001    0.000 _parser.py:231(__next)
        1    0.000    0.000    0.001    0.001 header.py:1(<module>)
       92    0.000    0.000    0.001    0.000 backends.py:110(_dispatch)
       69    0.001    0.000    0.001    0.000 enum.py:825(__setattr__)
       10    0.000    0.000    0.001    0.000 extras.py:234(__init__)
        4    0.000    0.000    0.001    0.000 warnings.py:130(filterwarnings)
       10    0.000    0.000    0.001    0.000 extras.py:238(getdoc)
        1    0.001    0.001    0.001    0.001 hermite.py:1(<module>)
     2216    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
        1    0.001    0.001    0.001    0.001 random.py:103(Random)
     1541    0.000    0.000    0.001    0.000 _parser.py:162(__getitem__)
        1    0.000    0.000    0.001    0.001 _text.py:1(<module>)
        2    0.000    0.000    0.001    0.000 clique.py:1(<module>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:975(exec_module)
        3    0.000    0.000    0.001    0.000 connectivity.py:1(<module>)
        1    0.000    0.000    0.001    0.001 <frozen posixpath>:1(<module>)
        7    0.000    0.000    0.001    0.000 inspect.py:1336(getfullargspec)
        1    0.000    0.000    0.001    0.001 mixing.py:1(<module>)
   294/96    0.001    0.000    0.001    0.000 _parser.py:172(getwidth)
        1    0.000    0.000    0.001    0.001 lgmres.py:1(<module>)
        1    0.000    0.000    0.001    0.001 boykovkolmogorov.py:1(<module>)
        1    0.000    0.000    0.001    0.001 current_flow_betweenness.py:1(<module>)
     4525    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _expm_multiply.py:1(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ElementPath.py:1(<module>)
        7    0.000    0.000    0.001    0.000 decorator.py:75(__init__)
     1683    0.000    0.000    0.001    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.001    0.001 branchings.py:831(ArborescenceIterator)
        1    0.000    0.000    0.001    0.001 __init__.py:149(EntryPoint)
        3    0.000    0.000    0.001    0.000 matching.py:1(<module>)
      665    0.001    0.000    0.001    0.000 {built-in method nt._path_splitroot}
        4    0.000    0.000    0.001    0.000 enum.py:907(<listcomp>)
     4525    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
        7    0.000    0.000    0.001    0.000 decorator.py:144(make)
