Please wait while I teach myself to play Sim-5.
This may take a few minutes.
14883
Elapsed time: 279.913106
I'm ready to play. You go first.

         1048127414 function calls (1048108574 primitive calls) in 280.421 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.001    0.000 _threadsafety.py:52(decorator)
      632    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:748(find_spec)
        1    0.000    0.000    0.001    0.001 _ellip_harm.py:1(<module>)
        1    0.000    0.000    0.001    0.001 modularity_max.py:1(<module>)
        6    0.000    0.000    0.001    0.000 _threadsafety.py:41(decorate)
        6    0.000    0.000    0.001    0.000 decorator.py:200(decorate)
       96    0.001    0.000    0.001    0.000 _compiler.py:241(_optimize_charset)
     4458    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        1    0.000    0.000    0.001    0.001 gzip.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _validation.py:1(<module>)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
      614    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
        1    0.000    0.000    0.001    0.001 defchararray.py:1(<module>)
        1    0.000    0.000    0.001    0.001 heaps.py:1(<module>)
       16    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.001    0.001 _parseaddr.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _flinalg_py.py:1(<module>)
        1    0.000    0.000    0.001    0.001 mst.py:1(<module>)
     2113    0.000    0.000    0.001    0.000 _parser.py:252(get)
     1273    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.001    0.001 add_newdocs.py:1(<module>)
       14    0.000    0.000    0.001    0.000 dataclasses.py:413(_create_fn)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
      278    0.001    0.000    0.001    0.000 decorators.py:25(not_implemented_for)
        1    0.000    0.000    0.001    0.001 function.py:1(<module>)
      632    0.000    0.000    0.001    0.000 __init__.py:89(find_spec)
        1    0.000    0.000    0.001    0.001 correlation.py:1(<module>)
     1866    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      617    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:920(find_spec)
      635    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
     2497    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1030(__exit__)
      322    0.000    0.000    0.001    0.000 inspect.py:402(isgeneratorfunction)
       28    0.001    0.000    0.001    0.000 inspect.py:867(cleandoc)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
        1    0.000    0.000    0.001    0.001 classic.py:1(<module>)
     4004    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
      632    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.001    0.001 _logsumexp.py:1(<module>)
        1    0.000    0.000    0.001    0.001 type_check.py:1(<module>)
     2497    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1026(__enter__)
       58    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1559(__init__)
        1    0.000    0.000    0.001    0.001 branchings.py:831(ArborescenceIterator)
       43    0.000    0.000    0.001    0.000 _compiler.py:509(_compile_info)
      322    0.000    0.000    0.001    0.000 inspect.py:391(_has_code_flag)
        1    0.000    0.000    0.001    0.001 beamsearch.py:1(<module>)
       69    0.001    0.000    0.001    0.000 enum.py:825(__setattr__)
     1215    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:405(parent)
        1    0.000    0.000    0.001    0.001 _internal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.001    0.001 fnmatch.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _ufunc_config.py:1(<module>)
        1    0.000    0.000    0.001    0.001 secrets.py:1(<module>)
        1    0.000    0.000    0.001    0.001 base64mime.py:1(<module>)
        1    0.000    0.000    0.001    0.001 header.py:1(<module>)
     2613    0.001    0.000    0.001    0.000 _parser.py:231(__next)
        1    0.000    0.000    0.001    0.001 _base.py:1(<module>)
        1    0.000    0.000    0.001    0.001 mst.py:957(SpanningTreeIterator)
      554    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
       10    0.000    0.000    0.001    0.000 extras.py:234(__init__)
       10    0.000    0.000    0.001    0.000 extras.py:238(getdoc)
        1    0.000    0.000    0.001    0.001 decorator.py:1(<module>)
       92    0.000    0.000    0.001    0.000 backends.py:110(_dispatch)
    23/22    0.000    0.000    0.001    0.000 typing.py:349(inner)
        2    0.000    0.000    0.001    0.000 clique.py:1(<module>)
     2216    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
        4    0.000    0.000    0.001    0.000 warnings.py:130(filterwarnings)
        1    0.000    0.000    0.001    0.001 vf2userfunc.py:1(<module>)
        1    0.000    0.000    0.001    0.001 lgmres.py:1(<module>)
        3    0.000    0.000    0.001    0.000 matching.py:1(<module>)
        7    0.000    0.000    0.001    0.000 decorator.py:75(__init__)
        1    0.000    0.000    0.001    0.001 sparse6.py:1(<module>)
        7    0.000    0.000    0.001    0.000 inspect.py:1336(getfullargspec)
        1    0.001    0.001    0.001    0.001 random.py:103(Random)
        7    0.000    0.000    0.001    0.000 decorator.py:144(make)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:975(exec_module)
       10    0.000    0.000    0.001    0.000 dataclasses.py:624(_cmp_fn)
        1    0.000    0.000    0.001    0.001 current_flow_betweenness.py:1(<module>)
        1    0.000    0.000    0.001    0.001 <frozen posixpath>:1(<module>)
     1541    0.000    0.000    0.001    0.000 _parser.py:162(__getitem__)
        1    0.000    0.000    0.001    0.001 ElementPath.py:1(<module>)
     4525    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.001    0.001 hermite.py:1(<module>)
   294/96    0.000    0.000    0.001    0.000 _parser.py:172(getwidth)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
      230    0.000    0.000    0.001    0.000 _internal.py:869(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.001    0.001 getlimits.py:158(_register_known_types)
        1    0.000    0.000    0.001    0.001 __init__.py:149(EntryPoint)
